Company Name,Website,City,Segment,What They Make,Revenue Band,Decision Maker,DM Title,DM Background,C1 Manufacturer Score,C1 Evidence,C2 India Score,C2 Evidence,C3 Differentiation Score,C3 Evidence,C4 Tech DM Score,C4 Evidence,C5 Tailwind Score,C5 Evidence,C6 Growth Score,C6 Evidence,Federer Score,Score Band,Verdict,Verdict Reasoning,Personalization Hook,Evidence Sources
Suven Pharma (Excluded — PE owned),suvenpharm.com,Hyderabad,CDMO / pharma intermediates,Contract development and manufacturing for global innovator pharma,Rs.300-500Cr,N/A,N/A,Not evaluated — PE-controlled. Fails Federer test.,Fail,"PE-controlled (Advent International). No longer promoter-driven. Decision-making has shifted to institutional investors.",Strong,HQ and manufacturing in Hyderabad.,Fail,"CDMO capabilities are strong, but ownership structure disqualifies. Advent International holds majority stake — Federer test requires promoter-driven leadership.",N/A,Not scored — disqualified on ownership.,N/A,Not scored.,N/A,Not scored.,0,D — Auto-disqualify,Fail — PE owned,"PE-owned (Advent International). Fails Federer test — decisions made by institutional investors, not a founder building capability. Documented as fail to show ownership check was applied.",N/A,"suvenpharm.com; Advent International acquisition announcement; BSE promoter holding data"
Vimta Labs (Excluded — CRO not manufacturer),vimtalabs.com,Hyderabad,Contract research / testing services,"Analytical testing, bioanalytical studies, clinical trial support — services not products",<Rs.50Cr,N/A,N/A,Not evaluated — auto-disqualified as CRO / service company.,Fail,"CRO providing testing services. Does not manufacture any physical product. A common trap in Hyderabad Genome Valley — many companies look like life sciences manufacturers but are actually service providers.",Strong,HQ and labs in Hyderabad.,N/A,Not evaluated — disqualified at C1.,N/A,Not scored.,N/A,Not scored.,N/A,Not scored.,0,D — Auto-disqualify,Fail — CRO not manufacturer,"Service company (CRO / testing lab) not manufacturer. Important pattern: many Genome Valley companies look like they belong in the life sciences segment but sell services not products. Always verify physical product.",N/A,"vimtalabs.com; BSE company description; About Us page clearly states testing and analytical services"
Shantha Biotech (acquired — fail),shanthabiotechnics.com,Hyderabad,Specialty biotech / vaccines,"Vaccines and biological products — hepatitis B vaccine, rabies vaccine",Rs.100-300Cr,N/A,N/A,Not evaluated — acquired by Sanofi. Subsidiary of large global group.,N/A,Manufacturing in Hyderabad.,Strong,HQ in Hyderabad.,N/A,Products are differentiated biologics — but not evaluated further due to auto-disqualify.,N/A,Not scored — acquired subsidiary.,N/A,Not scored.,N/A,Not scored.,0,D — Auto-disqualify,Fail — Subsidiary,"Acquired by Sanofi — now a subsidiary of a large global group. Fails auto-disqualify criterion: subsidiary of large group. Decision-making is no longer with an independent Indian promoter. Documented to show this check was applied.",N/A,"shanthabiotechnics.com; Sanofi acquisition records; MCA director data"
Biological E. Limited,biologicale.com,Hyderabad,Specialty biotech / vaccines,"Vaccines (hepatitis B, typhoid, tetanus), biosimilars, contract biologics manufacturing",Rs.100-300Cr,Mahima Datla,MD,"MBA from INSEAD, gen-2 leader. Family-owned company (Datla family) with strong institutional governance.",Strong,"Large biologics manufacturing campus in Hyderabad. WHO-GMP certified facility. In-house production of finished vaccines.",Strong,HQ and manufacturing in Hyderabad.,Strong,"WHO-GMP certified. UNICEF supplier. Produces multiple vaccines with proprietary formulations. Biologics manufacturing is extremely high-barrier.",Moderate,"MD Mahima Datla has MBA from INSEAD. Business background more than technical — scored moderate rather than strong. Family business with strong scientific staff but DM is from management not science.",Strong,"Vaccines and biosimilars have strong tailwinds: government immunization programs, COVAX supply chain diversification, India as global vaccine hub.",Strong,"Active expansion of manufacturing capacity. Contract biologics manufacturing (CDMO) for global partners. Hiring actively. Signals met: Facility + Hiring + Certifications.",85,A — Strong Federer,Pass,"Strong Federer. WHO-GMP certified, UNICEF supplier, growing biologics CDMO. Only caveat: DM Mahima Datla has MBA not technical background — moderate C4. Strong on everything else. Priority target.",One of only ~6 WHO-GMP certified vaccine manufacturers in India — now building out a contract biologics CDMO platform to serve global pharma companies.,"biologicale.com; WHO-GMP facility list; UNICEF supply records; MCA filings; company press releases"
Bharat Biotech (Excluded — too large),bharatbiotech.com,Hyderabad,Specialty biotech / vaccines,"Vaccines — cholera, typhoid, Covaxin (COVID-19), rotavirus, rabies",>Rs.500Cr,Dr. Krishna M. Ella,Chairman & MD,"PhD — scientist-founder. IIT background. Pioneer of rotavirus vaccine in India.",Strong,"World-class vaccine manufacturing campus in Genome Valley. Multiple production facilities.",Strong,HQ and manufacturing in Hyderabad.,Strong,"Proprietary vaccines including India's only mRNA vaccine platform (BBV154). COVAXIN developed in-house. WHO Emergency Use Listing.",Strong,"Founder Dr. Krishna Ella is PhD scientist. Classic Federer DM profile.",Strong,"Vaccines and biologics — one of the strongest tailwind positions in global health.",Strong,"Post-COVID expansion, new vaccine pipeline, international export ambitions. All signals firing.",0,D — Auto-disqualify,Fail — Revenue exceeds Rs.500Cr,"Technically a textbook Federer company — scientist-founder, deep moat, proprietary products, strong tailwinds. But revenue significantly exceeds Rs.500Cr ceiling. Documented as key example that even high-quality targets must be disqualified on revenue.",N/A,"bharatbiotech.com; BSE filings; WHO EUL records"
Sai Advantium Pharma,saiadvantium.com,Hyderabad,Complex APIs / specialty pharma,"High-potency APIs (HPAPIs), oncology APIs, controlled substances — contract API manufacturing for global pharma",Rs.100-300Cr,Dr. C. Satyanarayana,Founder & MD,"PhD Organic Chemistry. Founder of multiple pharma ventures. Deep domain expertise in complex API synthesis.",Strong,"Dedicated HPAPI manufacturing facility with containment infrastructure in Hyderabad. Highly capital-intensive — not a generic facility.",Strong,HQ and manufacturing in Hyderabad.,Strong,"HPAPI manufacturing requires Band 4/5 containment systems — enormous barrier to entry. USFDA-approved facility. Serves global innovator pharma.",Strong,"Founder Dr. C. Satyanarayana holds PhD in Organic Chemistry. Multiple pharma ventures built from technical expertise. Classic scientist-entrepreneur.",Strong,"HPAPIs are among the fastest-growing segments in pharma CMO — driven by oncology drug pipeline. China+1 tailwind especially strong for HPAPI given safety risks of China sourcing.",Strong,"Expanding containment capacity. Active hiring for technical roles. New USFDA audit cleared. Signals met: Facility + Certifications + Hiring.",95,A — Strong Federer,Strong Pass,"Strong Federer. PhD founder, USFDA-approved HPAPI facility (extremely high-barrier product), strong tailwind from oncology API demand, active expansion. One of the best profiles in this batch.",USFDA-approved HPAPI manufacturer with Band 4/5 containment — making oncology APIs that global pharma companies are actively moving away from Chinese suppliers.,"saiadvantium.com; USFDA facility database; MCA filings; LinkedIn profile Dr. C. Satyanarayana"
Kakatiya Cement Sugar and Industries (Segment mismatch — fail),kakatiyacement.com,Hyderabad,Cement / sugar manufacturing,"Cement and sugar — commodity bulk manufacturing, not specialty",Rs.100-300Cr,N/A,N/A,Not evaluated — commodity manufacturer. Fails C3.,Strong,Large manufacturing plants in Telangana.,Strong,HQ in Hyderabad.,Fail,"Cement and sugar are pure commodity products. No differentiation, no IP, no regulatory approvals that signal technical moat. Fails C3 completely.",N/A,Not scored — disqualified on C3.,N/A,Not scored.,N/A,Not scored.,0,D — Auto-disqualify,Fail — Commodity manufacturer,Commodity cement and sugar manufacturer. Fails C3 (differentiated product) decisively. Documented to show the commodity vs specialty distinction was applied — not all manufacturers qualify.,N/A,"kakatiyacement.com; BSE filings; company description"
Hetero Drugs (Excluded — generic pharma),heterodrugs.com,Hyderabad,Pharma / generics,"Generic APIs and formulations at scale — commodity pharma",>Rs.500Cr,Vamsi Krishna Bandi,MD,"Engineering background. Large private pharmaceutical group.",Strong,Large manufacturing facilities in Telangana.,Strong,HQ and multiple plants in Hyderabad region.,Fail,"Generic pharma — specifically excluded from ICP. Not differentiated — commodity APIs and formulations.",N/A,Not scored — generic pharma auto-disqualified.,N/A,Not scored.,N/A,Not scored.,0,D — Auto-disqualify,Fail — Generic pharma / too large,"Generic pharma is an auto-disqualifier — specifically called out in ICP criteria. Additionally revenue >Rs.500Cr. Two independent disqualifiers. Documented as a key segment-exclusion example.",N/A,"heterodrugs.com; standard industry knowledge; MCA filings"
Syrma SGS Technology,syrmasgstechnology.com,Hyderabad,Industrial electronics / IoT sensors,"Electronics manufacturing services (EMS) — PCBs, sensors, IoT devices for industrial customers",Rs.100-300Cr,Jasbir Singh,CEO (Founder of combined entity),"Engineering background. Syrma merged with SGS Technologie — combined entity now listed on BSE.",Strong,EMS manufacturing facilities in multiple cities including Hyderabad plant.,Moderate,"HQ in Chennai. Hyderabad operational presence — manufacturing unit. Scored moderate as Chennai is the primary HQ.",Moderate,"EMS is higher-value than basic PCB assembly — serves specialty industrial and defence customers. But EMS itself is service-like. Not producing proprietary products. Some DUT testing capabilities.",Moderate,"CEO engineering background but EMS is largely an execution business, not a deep-tech innovation business. Moderate on C4.",Moderate,"Electronics manufacturing is Make-in-India beneficiary and India component sector is growing. But EMS has more competition than specialty manufacturers.",Moderate,"Recently listed on BSE. Revenue growing. Some defence electronics wins. Signals met: Financial (1 of 5).",60,B — Probable Federer,Borderline — Research Further,"Borderline case. EMS is a grey area — not a pure commodity, not a specialty product company. The defence electronics wins and BSE listing are positive signals. But HQ is in Chennai and C3 is weak. Research further before including.",Recently merged with SGS Technologie and listed on BSE — pivoting from generic EMS toward defence electronics and IoT devices for industrial customers.,"syrmasgstechnology.com; BSE listing documents FY23; MCA filings; company press releases"
Amara Raja Energy & Mobility (Excluded — too large),amararaja.com,Hyderabad,Industrial batteries / energy storage,Lead-acid batteries and lithium-ion energy storage for automotive and industrial,>Rs.500Cr,Harshavardhana Galla,Vice Chairman,"Engineering background. Well-known industrial family (Galla family). Significant political profile.",Strong,"World-class battery manufacturing plants in Tirupati (near Hyderabad). Also MRF of batteries in India.",Strong,"Operational HQ in Hyderabad. Manufacturing near Hyderabad.",Moderate,"Amara Raja has some differentiation but the core lead-acid battery business is relatively commoditizing. Lithium-ion pivot is more differentiated.",Moderate,"Second-generation business leader with engineering background. Technical credentials moderate vs. scientist-founder ICP.",Strong,"Energy storage is a strong sector — EV transition, grid storage, PLI scheme.",Strong,"Active EV transition pivot. New lithium-ion plant under construction. Significant capex.",0,D — Auto-disqualify,Fail — Revenue exceeds Rs.500Cr,Revenue significantly exceeds Rs.500Cr ceiling. Otherwise a reasonable Federer candidate — especially as they pivot to lithium-ion energy storage. Documented as revenue ceiling disqualifier.,N/A,"amararaja.com; BSE filings FY24; press coverage of EV pivot"
Sandur Manganese and Iron Ores (Not Hyderabad — fail),sandur.com,Sandur / Karnataka,Mining and ferroalloys,Manganese ore and ferroalloys — mining/raw materials,Rs.100-300Cr,N/A,N/A,Not evaluated — operational presence not in Hyderabad.,N/A,Mining operations in Sandur (Karnataka) not Hyderabad.,Fail,"HQ in Bangalore. Mining in Karnataka. No Hyderabad operational presence.",N/A,Not evaluated — city disqualified.,N/A,Not scored.,N/A,Not scored.,N/A,Not scored.,0,D — Auto-disqualify,Fail — Wrong city / wrong segment,Neither Hyderabad-based nor in target segments. Documented as combined city + segment fail.,N/A,sandur.com; MCA filings
Lazuline Biotech,lazulinebio.com,Hyderabad,Specialty biotech / recombinant proteins,"Recombinant Human Serum Albumin using Pichia Pastoris expression system — rare global bioproduction capability",<Rs.50Cr,Prasad Kandimalla,Co-founder,"Scientist-led company. Deep biotech domain expertise in recombinant protein expression.",Strong,"Production capability in Hyderabad using Pichia Pastoris fermentation system.",Strong,"Jubilee Hills, Hyderabad. Manufacturing and R&D in Hyderabad.",Strong,"Recombinant HSA in Pichia is rare globally — few players worldwide. Deep biotech IP. Not a contract services company — they make a specific highly-differentiated product.",Strong,Scientist-founder with deep domain expertise in recombinant protein expression. Technical leadership throughout.,Strong,"Biologics and biosimilars benefit from China+1 in biopharma. Recombinant albumin demand growing as blood-derived albumin faces supply constraints.",Moderate,"Small revenue (~Rs.33Cr) with limited visible expansion signals. In strong tailwind sector but not showing explosive growth signals yet. Signals met: Website + Certifications (1-2 of 5).",85,A — Strong Federer,Pass — With Scale Caveat,"Strong Federer on C3/C4/C5. Small revenue and limited growth signals are the caveat. The differentiation is genuinely world-class — one of very few Pichia-based recombinant HSA producers globally. Worth pursuing with realistic expectations on deal size.",One of very few companies globally doing recombinant HSA production in Pichia — a capability most biopharma companies are still sourcing from China.,"lazulinebio.com; scientific publications; MCA filings"
Sreenivasa Hatcheries / Venky's (Segment check),venkys.com,Hyderabad (partial),Animal health / poultry,"Poultry breeding, veterinary vaccines, poultry feed — animal health and nutrition",Rs.300-500Cr,B. Venkatesh Rao / family,CMD,"Agri science background. Family-run poultry and animal health group.",Strong,"Breeding farms, vaccine manufacturing, feed plants across India including Hyderabad region.",Moderate,"National company. Hyderabad has operational presence but not sole HQ — multiple state headquarters.",Moderate,"Venky's veterinary vaccines have some differentiation but the core poultry business is commodity. Vaccine sub-segment is more differentiated.",Moderate,"Family-run with agri science background. Multiple generations in the business.",Moderate,"Animal health sector has tailwinds but poultry specifically is commodity-adjacent. Veterinary vaccine subset is stronger.",Moderate,"Large company with steady operations. Not showing aggressive expansion signals. Signals met: Financial (1 of 5).",60,B — Probable Federer,Borderline — Verify Veterinary Vaccines Segment,"Borderline overall — the poultry business is commodity but the veterinary vaccines sub-segment may qualify. Need to verify: is Hyderabad specifically the home of their vaccine manufacturing? If yes, this segment may qualify as a pass. Research further.",Venky's veterinary vaccines unit — if verifiable as Hyderabad-based production — is potentially a Federer fit given barriers in animal biologics manufacturing.,"venkys.com; MCA filings; company website segment breakdown"
Hetero Biopharma (separate entity from Hetero Drugs),heterobiopharma.com,Hyderabad,Specialty biotech / biosimilars,"Biosimilar biologics — erythropoietin, interferon, monoclonal antibodies for oncology and autoimmune diseases",Rs.100-300Cr,B. Partha Saradhi Reddy,Founder & MD,"Pharmacy graduate, entrepreneur who built Hetero from scratch. Technically informed though pharmacy rather than PhD scientist.",Strong,"Dedicated biologics manufacturing facility in Genome Valley, Hyderabad. WHO-GMP certified. Produces finished biologic drugs.",Strong,"Manufacturing in Genome Valley, Hyderabad.",Strong,"Biosimilar biologics — high-barrier manufacturing. WHO-GMP certified. Monoclonal antibody capability is significant. Different from parent Hetero Drugs which makes commodity generics.",Moderate,"MD has pharmacy background. Technically informed entrepreneur. Scores moderate — not PhD scientist but not non-technical either. Strong domain knowledge built through 30+ years.",Strong,"Biosimilars are one of the fastest-growing pharma segments globally. India is targeting 10% of global biosimilar market. China+1 in biologics is accelerating.",Strong,"New WHO-GMP certification for biologics facility. Active product pipeline with multiple biosimilars in development. Signals met: Certifications + Facility.",85,A — Strong Federer,Pass — Verify Independence from Hetero Group,"Potential issue: verify that Hetero Biopharma is run as an independently managed entity with its own decision-maker, not controlled by the broader Hetero Group as an institutionally-managed subsidiary. If genuinely promoter-run independently, this is a strong pass.",WHO-GMP certified biosimilar manufacturer in Genome Valley building out a monoclonal antibody capability — in a segment where most Indian generics companies have never played.,"heterobiopharma.com; WHO-GMP facility list; MCA filings — verify ownership structure"
